"","sources","Evidence"
"1","amend-shock",NA
"2","bacdive-microa",NA
"3","campedelli",NA
"4","corkrey",NA
"5","edwards",NA
"6","engqvist",NA
"7","faprotax",NA
"8","fierer",NA
"9","genbank",NA
"10","gold",NA
"11","jemma-refseq",NA
"12","kegg",NA
"13","kremer",NA
"14","masonmm",NA
"15","mediadb",NA
"16","methanogen",NA
"17","microbe-directory",NA
"18","nielsensl",NA
"19","pasteur",NA
"20","patric",NA
"21","prochlorococcus",NA
"22","protraits",NA
"23","roden-jin",NA
"24","rrndb",NA
"25","schulz-jorgensen",NA
"26","silva",NA
